file
cm056745.1
  start     end
    2599    2613
    3432    3446
    5212    5227
   13492   13503
   14240   14254
   17315   17332
   18181   18194
   19493   19512
   20803   20817
   25487   25504
   26276   26287
   26704   26720
   29736   29751
   32758   32773
   33676   33688
   34292   34306
   34931   34949
   35256   35271
   38461   38477
   41105   41119
   43556   43569
   45051   45065
   45903   45920
   47913   47932
   50468   50486
   52629   52646
   53727   53737
   55132   55145
   56116   56126
   57971   57985
   62660   62675
   63765   63780
   65943   65962
   67251   67269
   67271   67287
   69823   69843
   71081   71096
   72185   72203
   73104   73116
   74359   74377
   75185   75198
   76168   76182
   84893   84908
   86473   86485
   86578   86595
   89113   89128
   89164   89178
   93037   93051
   93207   93221
   94165   94183
   96485   96509
   98187   98200
   99544   99557
   99709   99726
  100587  100605
  101948  101975
  102162  102175
  102811  102824
  104310  104331
  104339  104354
  104488  104503
  104514  104531
  104662  104678
  104690  104704
  107323  107335
  108905  108920
  109478  109501
  109516  109538
  109567  109586
  109664  109685
  110144  110154
  110657  110670
  110881  110893
  111032  111050
  111119  111137
  111159  111177
  112662  112674
  113606  113625
  113770  113784
  113804  113822
  117749  117770
  118004  118019
  118101  118114
  118172  118185
  125309  125323
  128710  128753
  128767  128809
  128902  128915
  129009  129033
  130239  130260
  130389  130411
  132155  132172
  132192  132205
  132222  132238
  132648  132664
  132667  132686
  132692  132720
  132870  132890
  133430  133444
  133910  133940
  134475  134493
  136933  136949
  140128  140142
  140551  140581
  140734  140749
  140960  140983
  143605  143625
  143633  143651
  144870  144882
  148046  148064
  149668  149683
  150858  150870
  151141  151168
  151872  151889
  152503  152534
  152549  152569
  152956  152976
  153369  153402
  156269  156282
  159007  159022
  160404  160422
  160913  160928
  161084  161099
  162466  162483
  162491  162515
  162828  162838
  166615  166633
  166856  166876
  173355  173373
  173385  173406
  173493  173510
  173612  173632
  173637  173658
  173689  173705
  173714  173742
  174688  174702
  174916  174928
  174938  174949
  175346  175360
  175943  175958
  176109  176123
  176127  176164
  176225  176247
  176275  176294
  176674  176691
  177134  177153
  178274  178287
  178416  178452
  178457  178494
  178709  178736
  178925  178945
  178965  179000
  179063  179082
  179124  179138
  179313  179334
  179682  179696
  180162  180194
  180397  180417
  180478  180498
  180516  180528
  180563  180577
  180628  180642
  182700  182716
  183406  183421
  184201  184217
  184614  184631
  184647  184661
  184939  184955
  185555  185588
  186376  186391
  186408  186443
  186563  186577
  186837  186847
  187237  187292
  188625  188639
  189237  189261
  189309  189325
  189331  189347
  189885  189903
  192138  192150
  198974  198988
  199025  199038
  199401  199418
  199441  199454
  200402  200420
  201360  201375
  201781  201796
  207214  207237
  207507  207524
  208847  208865
  208887  208899
  213361  213378
  214343  214358
  215361  215377
  216117  216132
  216790  216805
  216913  216927
  219498  219514
  219522  219540
  219638  219653
  226096  226108
  230442  230458
  230531  230546
  231098  231112
  231209  231223
  238907  238924
  242048  242065
  242286  242303
  243135  243152
  243985  243999
  246181  246202
  247393  247406
  247587  247602
  249241  249260
  252085  252102
  253630  253644
  255774  255788
  255824  255840
  255859  255874
  256341  256358
  256794  256809
  256950  256967
  258876  258888
  259011  259050
  260653  260672
  263840  263861
  263911  263933
  264851  264863
  265629  265643
  268240  268265
  268269  268289
  268449  268463
  269746  269763
  271240  271261
  271866  271898
  271942  271954
  272610  272626
  272633  272664
  273075  273093
  273605  273618
  273944  273960
  274036  274049
  275103  275116
  275729  275751
  275780  275794
  280670  280686
  283454  283469
  286773  286796
  287405  287416
  287471  287485
  287657  287675
  287785  287833
  288348  288367
